Condition,Category,Vignette-Child (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Child (Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),,
Primary ciliary dyskinesia,No change,"A 7-year-old boy, John, presents to the pediatrician with a history of persistent cough and difficulty breathing. He was born prematurely at 32 weeks and has had recurrent respiratory infections since infancy. His parents have noticed that he gets tired easily when playing and often has a nasal voice. On examination, John's vital signs are normal, but his chest examination reveals a prolonged expiratory phase, and his nasal mucus is thick and sticky. The patient's height and weight are below the 25th percentile for his age.
The most important clinical features in this scenario are:
1. Persistent cough and difficulty breathing
2. Premature birth
3. Recurrent respiratory infections since infancy
4. Prolonged expiratory phase on chest examination
5. Thick and sticky nasal mucus
6. Below-average height and weight for age.",1,0,0,0,1,1,"A 35-year-old woman comes to your office with a long history of chronic cough, which has been getting worse over the past year. She also reports recurrent respiratory infections and difficulty breathing. On examination, her vital signs are normal, but she has a prolonged expiratory phase and wheezing on lung auscultation. High-resolution computed tomography (HRCT) of the chest reveals bilateral bronchiectasis with cystic changes. Genetic testing reveals primary ciliary dyskinesia (PCD).",1,0,1,0,1,2,"A 3-month-old male infant is brought to the emergency department by his parents due to concerns of difficulty breathing and frequent coughing episodes. The baby was born at full term without any complications but has had recurrent respiratory issues since birth, requiring supplemental oxygen intermittently. He has a history of daily rhinitis and wet cough, and his parents report that he often chokes or gags during feedings. Physical examination reveals tachypnea, nasal flaring, and intercostal retractions. The patient is diagnosed with primary ciliary dyskinesia (PCD), a genetic disorder affecting the structure and function of cilia, which are tiny hair-like structures found in the respiratory tract that help to clear mucus and debris from the lungs. The most important clinical features of PCD include neonatal respiratory distress, chronic wet cough, recurrent lower airway infections, and bronchiectasis. In this case, the patient's symptoms began shortly after birth, indicating that PCD can present early in life. The diagnosis is confirmed with a sweat test or genetic testing.",1,1,1,1,2,3,"A 35-year-old man presents to his primary care physician with a history of recurrent respiratory infections, chronic cough, and difficulty breathing. He reports that he has had these symptoms since childhood but they have worsened over the past year. The patient also mentions that he has had multiple sinus infections and has noticed some hearing loss recently. On physical examination, the patient appears thin and has a prominent nasal bridge. His lung sounds are diminished on the right side, and there is a high-pitched expiratory wheeze audible over the trachea. The patient's sputum production is purulent, and he has a history of recurrent pneumonia. The patient is diagnosed with primary ciliary dyskinesia (PCD), a genetic disorder that affects the structure and function of cilia, leading to respiratory problems. The most important clinical features in this case include the patient's history of recurrent respiratory infections, chronic cough, hearing loss, and physical examination findings such as diminished lung sounds and purulent sputum production. These symptoms are consistent with PCD, which can lead to bronchiectasis, chronic infections, and other respiratory complications if left untreated.",1,1,1,1,2,3,,
Achondroplasia,Change in presentation related to age,"A 3-year-old boy named Max presents to the clinic with his parents due to concerns about his growth and development. He was born at 37 weeks gestation and had a birth weight of 2.5 kg. His parents are both of average height (168 cm and 170 cm, respectively). Max's height is currently 70 cm, which is below the 10th percentile for his age. He also has a large head, short arms and legs, and a prominent forehead. Max's developmental milestones have been delayed, and he is currently unable to walk independently. His limbs are also very weak, and he has difficulty grasping objects with his hands.
The most important clinical features of this patient vignette are:
1. Short stature: Max's height is below the 10th percentile for his age, which indicates short stature.
2. Large head: Max has a large head, which is a characteristic feature of Achondroplasia.
3. Short arms and legs: Max's arms and legs are short in proportion to his body, which is another feature of Achondroplasia.
4. Prominent forehead: Max has a prominent forehead, which is also a feature of Achondroplasia.
5. Delayed developmental milestones",1,1,0,1,2,2,"A 35-year-old man named Jack presents to the office with a chief complaint of back pain. He was diagnosed with achondroplasia at birth and has been followed by a multidisciplinary team throughout his life. Despite this, he has had increasing difficulty ambulating in recent years and now relies on a wheelchair for mobility. His back pain is located in the lower back and radiates to his right leg. He also reports decreased sensation in his legs and feet. On examination, Jack's stature is 4 feet, with a large head, short arms and legs, and normal-appearing torso. His gait is waddling, and he has marked lumbar lordosis. Neurological examination reveals decreased sensation to light touch in the L2-S1 dermatomes. Imaging studies show multilevel degenerative disc disease and spinal stenosis.",1,1,1,1,2,3,"A 3-year-old boy named Max presents to the clinic with his parents, who are concerned about his slow development and short stature. Max was born at term and had a normal birth weight, but since then, his growth has been slower than expected. He is currently 70 cm tall and weighs 12 kg, which puts him below the 5th percentile for both height and weight. On examination, the physician notes that Max's limbs are short and thin, with a rhizomelic pattern of shortening. His head is large and long, with frontal bossing and midface retrusion. Max has difficulty standing and walking independently due to his short legs and hypotonia. He also has a prominent forehead and a depressed nasal bridge. The physician suspects that Max may have Achondroplasia, a genetic disorder that affects the development of cartilage and bone, leading to short stature and characteristic facial features. To confirm the diagnosis, the physician orders an X-ray of Max's spine and limbs, as well as genetic testing to identify any mutations in the genes associated with Achondroplasia.",1,1,1,1,2,3,"A 35-year-old man with achondroplasia presents to the clinic for a routine follow-up appointment. He is accompanied by his wife, who is also affected by the condition. The patient reports experiencing increasing fatigue and shortness of breath over the past year, which he attributes to his difficulty in walking long distances due to his short stature and kyphosis. On examination, the patient's height is 125 cm, and he has a large head, broad and short hands, and a trident-shaped hand. His neck is short, and he has a prominent forehead and midface hypoplasia. The patient's thoracolumbar spine shows evidence of past kyphosis, which has resolved over time. He also has mild obstructive sleep apnea and conductive hearing loss due to chronic otitis media. The patient is concerned about his recent symptoms and asks for advice on how to manage them.
The most important clinical features of this patient's presentation are:

* Short stature (125 cm)
* Large head
* Broad and short hands with a trident shape
* Short neck
* Prominent forehead and midface hypoplasia
* Evidence of past thoracolumbar kyphosis
* Mild obstructive sleep apnea",1,1,0,1,2,2,,
Leber hereditary optic neuropathy,Only adulthood,"A 12-year-old boy presents to the ophthalmology clinic with a 6-month history of progressive visual loss in both eyes. He has difficulty seeing objects clearly and often bumps into things. His medical history is unremarkable, but his maternal grandfather was diagnosed with similar symptoms at the same age. On examination, his best-corrected visual acuity is 20/400 in each eye, and funduscopic examination reveals bilateral optic disc pallor. Visual field testing shows a central scotoma in both eyes. The patient is diagnosed with Leber hereditary optic neuropathy (LHON), a rare genetic disorder that affects the mitochondria in the retinal ganglion cells, leading to progressive loss of central vision.",0,1,1,0,1,2,"A 35-year-old man presents to the emergency department with sudden vision loss in his right eye. He has a history of similar episodes in the past, but they have always resolved on their own. This time, however, the vision loss persists, and he notices that his left eye is also affected. On examination, visual acuity is 20/200 in the right eye and 20/400 in the left eye. Funduscopic examination reveals bilateral optic disc edema. The patient has a family history of Leber hereditary optic neuropathy, and genetic testing confirms the diagnosis.
Important clinical features:
Sudden vision loss
Recurrent episodes of vision loss in the past
Bilateral optic disc edema
Family history of Leber hereditary optic neuropathy
Positive genetic testing for LHON",1,1,0,1,2,2,"A 19-year-old male presents to the emergency department with sudden, painless vision loss in both eyes over the past week. He reports difficulty reading and recognizing faces, and has noticed a gradual worsening of his central vision over the past few months. He denies any eye pain or discomfort, and has no history of eye trauma or previous visual problems. On examination, his best-corrected visual acuity is 20/80 in both eyes, with a central scotoma (blind spot) in the center of his visual field. He has normal peripheral vision and color perception. Funduscopic examination reveals a bilateral papilledema (swelling of the optic disc). The patient is referred to a neurologist for further evaluation, and genetic testing reveals a positive mutation in the mtDNA LHON gene.",1,1,1,1,2,3,"A 25-year-old male presents to the emergency department with sudden, painless vision loss in both eyes over the past week. He reports difficulty reading and recognizing faces, and notes that his central vision has been gradually worsening over the past few months. On examination, visual acuity is 20/400 in both eyes, with a central scotoma. Funduscopic examination reveals bilateral optic disc edema. The patient has no other neurological symptoms. Genetic testing confirms the diagnosis of Leber hereditary optic neuropathy (LHON).",1,1,1,1,2,3,,
Hartnup disease,No change,"A 3-year-old boy presents to the emergency department with a 2-day history of fever, vomiting, and lethargy. He has a history of recurrent episodes of fever and vomiting, and his parents report that he often has a ""sour smell"" to his sweat and urine. On examination, the patient appears ill and dehydrated, with a temperature of 102°F (39°C). He has a mild cough and tender abdomen, but no signs of meningism or focal neurological deficits. Laboratory tests reveal a normal complete blood count and electrolyte panel, but an elevated urinary amino acid concentration. The patient is diagnosed with Hartnup disease, a rare genetic disorder caused by a defect in the tryptophan transport system. Treatment includes supportive care for dehydration and electrolyte imbalances, as well as dietary restrictions to limit tryptophan intake.",0,0,1,0,0,1,"A 35-year-old man presents to his primary care physician with a 6-month history of intermittent vomiting, diarrhea, and weight loss. He reports that he often has a sour or bitter taste in his mouth and that his sense of smell is heightened. He also mentions that he has had recurrent episodes of confusion, disorientation, and difficulty concentrating. The patient appears thin and gaunt, with a prominent occipital protuberance. His blood work reveals a normocytic anemia, hypokalemia, and metabolic acidosis.",0,0,1,0,0,1,"A 7-year-old boy is brought to the pediatrician's office by his mother, who reports that her son has been experiencing intermittent episodes of skin rashes, cerebellar ataxia, and neurological symptoms over the past year. The child's medical history is unremarkable, and he has been developing normally. However, his mother mentions that he has been more sensitive to sunlight recently, and the symptoms seem to worsen during the spring and summer months. On physical examination, the boy appears healthy, with no signs of pallor or jaundice. His skin is smooth and dry, without any evidence of a rash. He has full range of motion in all his joints, but his gait is mildly ataxic. There is no nystagmus or strabismus. The boy's speech is clear, and he appears to understand and respond appropriately to questions. His reflexes are normal, without any signs of hyperreflexia. The results of a complete blood count, electrolyte panel, and liver function tests are within normal limits. A urine organic acid analysis reveals an increased excretion of 5-hydroxyindoleacetic acid.",1,1,1,1,2,3,"A 35-year-old woman presents to her primary care physician with a history of intermittent cerebellar ataxia, spasticity, trembling, and headaches that worsen in the spring and summer months. She also reports experiencing anxiety, emotional instability, delusions, and hallucinations during these times. The patient has a history of skin photosensitivity and has noticed that her symptoms tend to flare up after sunlight exposure. She has tried various medications and therapies without much relief. On examination, the patient appears disheveled and agitated, with difficulty walking due to ataxia. Her speech is slurred, and she experiences tremors in her upper extremities. The patient's skin exhibits a pellagra-like rash on her face and arms. The physician suspects Hartnup disease based on the patient's symptoms and medical history and orders further diagnostic tests to confirm the diagnosis.",1,1,1,1,2,3,,
Meckel syndrome,Only childhood,"A 3-year-old boy presents to the emergency department with sudden onset of severe abdominal pain, vomiting, and fever. He has a history of recurrent respiratory infections and was recently diagnosed with nephrotic syndrome. Physical examination reveals tenderness to palpation over the right lower quadrant of the abdomen, and a mass is felt in the same area. The patient is admitted for further evaluation and management.",0,0,1,0,0,1,"A 35-year-old man presents to the emergency department with sudden onset of severe abdominal pain, nausea, and vomiting. He has a history of recurrent kidney stones and has been diagnosed with Meckel syndrome. On examination, his blood pressure is 180/100 mmHg, heart rate 120 beats per minute, respiratory rate 24 breaths per minute, and temperature 37.5°C (99.5°F). Abdominal examination reveals tenderness to palpation over the right flank, with guarding and rebound tenderness. The patient is diaphoretic and appears uncomfortable. Urinalysis shows pyuria and hematuria.
Important clinical features:
Severe abdominal pain
History of recurrent kidney stones
Meckel syndrome diagnosis
Elevated blood pressure
Tenderness to palpation over the right flank
Guarding and rebound tenderness
Pyuria and hematuria on urinalysis",0,0,0,0,0,0,"A 3-month-old boy presents to the emergency department with difficulty breathing and fever. He was born at 34 weeks gestation via emergency cesarean section due to fetal distress. His birth weight was low (1.2 kg), and he required oxygen therapy and mechanical ventilation in the neonatal intensive care unit. Physical examination reveals a small child with a prominent occipital encephalocele, micrognathia, and cleft palate. His limbs are short and show postaxial polydactyly of both hands. The abdomen is distended, and the kidneys feel large to the examiner. There is a cardiac murmur. The child is developmentally delayed, and his eyes show signs of microphthalmia. Family history reveals that the parents are consanguineous and have two other children who died in infancy from similar symptoms.",0,0,1,0,0,1,"A 35-year-old woman comes to the clinic complaining of shortness of breath and fatigue. She has a history of recurrent respiratory infections and was born with polydactyly (an extra finger on each hand). Physical examination reveals a small head size, prominent forehead, widely spaced eyes, short nose, and a thin upper lip. The patient has a soft, high-pitched voice and a small jaw. She also has a history of recurrent urinary tract infections and kidney stones. Abdominal examination reveals an enlarged liver and kidneys. Imaging studies show holoprosencephaly (a single, large brain hemisphere), hydrocephalus (fluid accumulation in the brain), and Dandy-Walker syndrome (a congenital brain malformation). The patient is diagnosed with Meckel syndrome, a rare genetic disorder that affects the development of multiple organs and systems. The most important clinical features of this case include:

* Polydactyly (extra fingers)
* Short stature
* Distinctive facial features (prominent forehead, widely spaced eyes, short nose, thin upper lip)
* Respiratory problems (shortness of breath, recurrent respiratory infections)",0,0,0,0,0,0,,
Kallmann syndrome,Change: presentation/management,"A 10-year-old boy is brought to the pediatrician's office by his parents due to delayed pubertal development and short stature. He has always had a small appetite and eats very little, but he drinks plenty of water. His height is below the third percentile for his age, and he has not yet entered puberty. He has a normal intelligence quotient (IQ) and no other dysmorphic features. Physical examination reveals a small, undescended testis on the right side, and the left testis is not palpable. The patient's voice is high-pitched, and he has a mild cognitive delay. Family history is unremarkable.",1,0,1,0,1,2,"A 35-year-old man presents to his primary care physician with complaints of infertility and lack of interest in sex. He also mentions that he has had difficulty smelling certain odors, such as the scent of flowers or food, for many years. On physical examination, the patient is found to have a number of dysmorphic features, including a small jaw, widely spaced eyes, and a flat nasal bridge. Genetic testing reveals that he has Kallmann syndrome, a rare genetic disorder that affects the development of the reproductive system and olfactory system. The patient is referred to a specialist for further evaluation and management of his condition.",0,0,1,0,0,1,"A 10-year-old boy is brought to the endocrinology clinic by his parents due to lack of pubertal development. He has always had a small penis and undescended testes, and his height and weight have been below the 25th percentile for his age. He also reports difficulty smelling odors. On examination, he has no breast tissue, sparse body hair, and decreased bone density. His testicular volume is less than 4 mL. The patient's sense of smell is impaired, and he has a history of frequent respiratory infections. The patient is diagnosed with Kallmann syndrome, and hormone replacement therapy is initiated to promote pubertal development and improve his bone density.",1,1,1,1,2,3,"A 27-year-old male presents to the endocrinology clinic with a history of delayed puberty and anosmia (lack of sense of smell). He reports that he has never had a spontaneous erection or ejaculation, and that his libido is low. He also mentions that he has always had difficulty hearing and has worn hearing aids since childhood. Physical examination reveals a tall, thin man with decreased facial and body hair, small testes, and a soft, flaccid penis. His bone density is low, and he has a history of fractures. The patient is diagnosed with Kallmann syndrome, and further testing reveals a mutation in the KAL1 gene. Treatment options, including hormone replacement therapy and assisted reproductive technology, are discussed with the patient.",1,1,1,1,2,3,,
Smith-Lemli-Opitz syndrome,No change,"A 3-year-old boy, John, presents to the pediatrician's office with his mother due to concerns about his growth and development. John was born at 37 weeks gestation and had a birth weight of 2.8 kg. His mother reports that he has always been small for his age and has struggled to gain weight. On examination, John's height is below the 10th percentile, and his weight is below the 5th percentile. He has a small head circumference and a short arm span. John also has mild intellectual disability and delayed speech development. His physical examination reveals a number of dysmorphic features, including a flat nasal bridge, a small jaw, and widely spaced eyes. Genetic testing confirms the diagnosis of Smith-Lemli-Opitz syndrome.",1,0,1,0,1,2,"A 35-year-old woman presents to her primary care physician with a history of short stature, intellectual disability, and distinctive facial features, including a flat nasal bridge, a small jaw, and widely spaced eyes. She also has a history of seizures and poor coordination. The patient is diagnosed with Smith-Lemli-Opitz syndrome, a rare genetic disorder caused by a deficiency of the enzyme 7-dehydrocholesterol reductase. The most important clinical features of this condition include the distinctive facial features, intellectual disability, seizures, and short stature.",0,0,1,0,0,1,"A 4-year-old boy presents to the pediatrician's office for a routine checkup. His parents express concern about his speech and language development, as well as his difficulty paying attention and following instructions. The child also has a history of poor feeding and gastroesophageal reflux. On physical examination, the patient is found to have microcephaly, bitemporal narrowing, ptosis, broad nasal bridge, short nasal root, anteverted nares, small chin, and micrognathia. He also has postaxial polydactyly of the hands and feet, syndactyly of the 2nd and 3rd toes, and short and proximally placed thumbs. The patient is diagnosed with Smith-Lemli-Opitz syndrome based on his clinical features and laboratory tests showing a deficiency in 7-dehydrocholesterol (7-DHC) reductase enzyme activity. Further evaluation reveals a ventricular septal defect, patent ductus arteriosus, and atrioventricular canal, as well as a cleft palate and gastrointestinal anomalies. The patient is referred to a multidisciplinary team for further management and follow-up.",1,1,1,1,2,3,"A 27-year-old male presents to the clinic with his caregiver due to concerns of worsening behavioral problems over the past year. He was diagnosed with Smith-Lemli-Opitz syndrome at birth and has been followed by a multidisciplinary team since then. His growth has been stable, but he has had difficulty gaining weight. He has moderate intellectual disability and has been working with a special education teacher since childhood. He has a broad nasal bridge, short nasal root, anteverted nares, small chin, micrognathia, bitemporal narrowing, ptosis, and strabismus. He has a history of sleep disturbances and hyperactivity. He has a small penis, hypospadias, and ambiguous genitalia. His cardiovascular exam reveals an atrial septal defect, ventricular septal defect, and patent ductus arteriosus. His abdominal exam shows a pyloric stenosis. He has postaxial polydactyly of the hands and feet and short and proximally placed thumbs. The patient is very photosensitive and has difficulty tolerating bright lights. He has a history of gastroesophageal reflux and poor feeding as an infant. His developmental delays have resulted in social isolation.",1,1,1,1,2,3,,
Trisomy 13,Only childhood,"A 6-month-old girl, Sarah, is brought to the pediatrician's office by her parents due to concerns about her development. She was born at 37 weeks gestation and had a low birth weight of 2.4 kg. Her parents mention that she has been having difficulty feeding and has not been gaining weight as expected. On examination, Sarah appears small for her age and has a distinctive facial appearance with a flat nasal bridge, thin upper lip, and widely spaced eyes. She also has a single crease in the palm of her hand. The pediatrician suspects Trisomy 13 and orders a chromosomal analysis to confirm the diagnosis.",0,0,0,0,0,0,"A 25-year-old woman gives birth to a baby girl at 37 weeks gestation. The baby weighs 2.4 kg and is 48 cm long. On physical examination, the baby has a flat nasal bridge, small ears, and a short neck. The baby also has a single crease in her palm and a simian crease on her left hand. The baby's limbs are weak and she has difficulty moving them. The baby is also having trouble breathing and is making grunting noises while breathing.",0,0,0,0,0,0,"A 2-month-old girl is brought to the emergency room due to seizures and decreased responsiveness. She was born at 34 weeks of gestation, weighing 1.5 kg (3.3 lbs), with Apgar scores of 8 and 9 at 1 and 5 minutes, respectively. Her growth parameters have been below the third percentile since birth. Physical examination shows a small child with a large head, short limbs, and facial dysmorphism consisting of hypotelorism, premaxillary agenesis, and microphthalmia. The child is lethargic, with poor reactivity to stimuli and minimal spontaneous movements. There is a grade II/VI holosystolic murmur heard at the left lower sternal border. Abdominal examination reveals a soft, non-tender liver edge palpable 2 cm below the costal margin. The child's temperature is 37.1°C (98.8°F). Laboratory studies show a WBC count of 15 x 10(9)/L, Hb 140 g/L, platelet count 60 x 10(9)/L, and normal electrolytes and liver enzymes.",0,0,0,0,0,0,"A 25-year-old woman, G.S., presents to the genetics clinic with her mother due to concerns about her cognitive and physical development. She was born at 37 weeks gestation via cesarean section due to fetal distress, and had a low Apgar score. Her birth weight was 2.4 kg (5.3 lbs), and she had respiratory distress syndrome. G.S. has a flat nasal bridge, small jaw, and widely spaced eyes. She is unable to speak or walk independently and has difficulty sitting up without support. She has a history of seizures and frequent respiratory infections. Her developmental milestones are significantly delayed, and she has not achieved any significant cognitive or motor skills. G.S.'s mother reports that she has never been able to communicate effectively with her daughter and that she has always seemed ""disconnected"" from her surroundings. On physical examination, the patient is noted to have a small head size (microcephaly), short stature, and a prominent forehead. Her facial features include a flat nasal bridge, small jaw, widely spaced eyes, and a thin upper lip. She has postaxial polydactyly of her left hand and a single crease in her palmar surface.",0,0,0,0,0,0,,fix
Thanatophoric dysplasia,Only childhood,"Meet Emily, a 2-year-old girl who was born with Thanatophoric dysplasia. She has short arms and legs and a large head with a prominent forehead. Emily experiences frequent seizures and has difficulty breathing, which causes her to wheeze and turn blue. She is also developmentally delayed and cannot sit or stand without support. Despite these challenges, Emily is a happy and curious child who loves to play with toys and interact with her family.

Most important clinical features:

* Short limbs and small torso
* Large head with prominent forehead
* Respiratory problems (wheezing, difficulty breathing)
* Seizures
* Developmental delays (cannot sit or stand without support)",1,0,0,0,1,1,"Meet Emily, a 25-year-old woman who has been experiencing shortness of breath and difficulty walking due to joint pain. She was born with Thanatophoric dysplasia, a condition that affects the development of her skeleton. Emily's height is only 4 feet 5 inches, and she has a characteristic dome-shaped skull. She also has short arms and legs, and her joints are swollen and painful. Despite her physical limitations, Emily remains positive and active, working as a graphic designer from home.
The most important clinical features of Thanatophoric dysplasia in this scenario include:
Short stature (4 feet 5 inches)
Dome-shaped skull
Short arms and legs
Joint deformities and pain
Respiratory problems (shortness of breath)",0,0,0,0,0,0,"A 2-day-old male newborn was transferred to our NICU from an outlying hospital due to respiratory distress and concern for skeletal dysplasia. The baby was born via emergency C-section at 37 weeks gestation because of fetal distress, with a birth weight of 2.4 kg (5.3 lbs). His Apgar score was 8 at 1 minute and 6 at 5 minutes. On examination, he was found to have a large head, prominent eyes, short limbs, and a bell-shaped thorax. He had redundant skin folds on his arms and legs, and his hands were in a trident configuration. He was hypotonic and had difficulty maintaining his airway, requiring intubation and mechanical ventilation. A chest X-ray showed a narrow thorax with flattened vertebral bodies, and bowed femurs were noted on ultrasound. The patient was diagnosed with Thanatophoric dysplasia type 1. Despite aggressive respiratory support, the baby's condition continued to deteriorate, and he died within 48 hours of life due to respiratory failure.",1,1,1,1,2,3,"Pt is a 25-year-old woman who presents to the office for a routine checkup. She was diagnosed with thanatophoric dysplasia (TD) at birth and has been followed by her primary care physician and geneticist since then. On examination, she is noted to have short stature, with a height of 4 feet 2 inches, and limb deformities, including bowed femurs and brachydactyly. Her head circumference is 56 cm, and she has frontal bossing, severe midface hypoplasia, and proptosis. Her thorax is narrow and bell-shaped, and there are redundant skin folds along her limbs. She also has generalized hypotonia. The patient reports that she has been experiencing some difficulty with balance and walking recently, and her neurological examination reveals some loss of coordination and muscle weakness. Imaging studies, including X-rays and CT scans, show significant craniosynostosis, temporal lobe dysplasia, hydrocephalus, and foramen magnum stenosis. The patient is referred to a neurosurgeon for further evaluation and management of her neurological symptoms. Genetic testing confirms the diagnosis of TD type 2.",0,0,1,0,0,1,,
Beckwith-Wiedemann syndrome,Change: presentation/management,"A 3-year-old boy presents to the pediatrician's office for a routine well-child visit. His mother mentions that he has been growing rapidly and is now in the 90th percentile for height and weight. On examination, the child has a large head, a prominent forehead, and a short, broad nose. He also has a sacral dimple and a small patch of hair on his lower back. The child is developmentally delayed and has difficulty speaking in full sentences. His mother reports that he has been having trouble sleeping at night and often wakes up screaming.
The most important clinical features for this patient are:
* Large head
* Prominent forehead
* Short, broad nose
* Sacral dimple
* Patch of hair on lower back
* Developmental delay
* Difficulty speaking in full sentences
* Sleep disturbances
* Nighttime screaming",0,0,0,0,0,0,"A 25-year-old woman presents to her primary care physician with a history of persistent fatigue, weakness, and easy bruising. She also reports recurrent infections and delayed wound healing. On physical examination, she has a large tongue, a prominent forehead, and a short stature. Laboratory tests reveal anemia, thrombocytopenia, and elevated liver enzymes. Genetic testing confirms the diagnosis of Beckwith-Wiedemann syndrome, a rare genetic disorder caused by a mutation in the CDKN1A gene. The patient is referred to a specialist for further management and monitoring.",0,0,1,0,0,1,"Patient: A 3-year-old boy presents to the pediatrician's office for a routine check-up. His mother mentions that he has been growing rapidly since birth and is now taller than his peers. The patient also has a large tongue that protrudes from his mouth, which causes difficulty with speech and sleep apnea. He was born with an omphalocele that was repaired surgically shortly after birth. The patient's blood work reveals mild hypoglycemia. Physical examination shows hemihyperplasia of the left side of his body, including his arm, leg, and facial features. There is also a noticeable anterior earlobe crease and posterior helical pit on his right ear. The patient's abdomen is enlarged, and imaging studies reveal visceromegaly of the liver and spleen. His family history is positive for a sibling with a similar condition. The patient is referred to a geneticist for further evaluation and diagnosis of Beckwith-Wiedemann syndrome is suspected.",0,1,1,0,1,2,"A 30-year-old woman presents to her primary care physician for a routine check-up. She has a history of Beckwith-Wiedemann syndrome (BWS), a growth disorder that she was diagnosed with as an infant. She reports that she had rapid growth in late fetal development and early childhood, but her growth rate slowed by age seven to eight years, resulting in an adult height within the normal range. She mentions that she has had issues with macroglossia, hemihyperplasia, omphalocele, neonatal hypoglycemia, and visceromegaly in the past, but these have not caused significant problems in recent years. However, she is concerned about the increased risk of embryonal tumor development associated with BWS, particularly given her family history of Wilms tumor. She also mentions that she has noticed some renal abnormalities and would like to discuss her options for managing these issues. The patient's physical examination reveals a number of characteristic clinical features of BWS, including macroglossia, hemihyperplasia, omphalocele, and anterior earlobe crease(s) and posterior helical pit(s). The physician orders imaging studies to further evaluate the patient's renal abnormalities and recommends regular monitoring and follow-up to manage her condition.",1,1,1,1,2,3,,
Darier disease,No change,"A 10-year-old boy presents to the dermatology clinic with a 2-year history of skin lesions that have been slowly increasing in number and size. The lesions are papillomatous, flesh-colored, and have a rough texture. They are primarily located on his chest, back, and face. He has also noticed recent worsening of the lesions, with some becoming inflamed and crusted. The patient has a family history of similar skin lesions in his mother and maternal grandfather.",1,0,1,0,1,2,"A 35-year-old woman presents to the dermatology clinic with a long history of skin lesions that have been slowly progressing over the past decade. She has numerous small, rough, brown papules on her chest, back, and arms. The papules are slightly itchy but not painful. She has tried various topical treatments without much improvement. Physical examination reveals characteristic stuck-on"" appearance of the papules, with a distinct border and a smooth surface. There is no evidence of skin atrophy or scarring. The patient also reports having a strong family history of similar skin lesions in her mother and grandmother.""",1,0,1,0,1,2,"Patient: 8-year-old girl, Sarah, presents to the dermatology clinic with her mother due to persistent skin lesions on her hands and feet that have been worsening over the past year. She also complains of dry, itchy skin and difficulty swallowing pills. Her mother reports that Sarah has had recurrent episodes of fever and vomiting, which seem to trigger the appearance of new lesions. On examination, the provider notes numerous keratotic papules on her trunk, acral pits on her palms and soles, and V-shaped notches on her fingernails. Sarah's mother also mentions that she has been experiencing difficulty with her schoolwork and has been more irritable than usual.",0,1,1,0,1,2,"Meet Sarah, a 35-year-old woman who has been struggling with a chronic skin condition since her early twenties. She has developed a variety of symptoms over the years, including keratotic papules on her trunk, acral pits on her palms and soles, and acral wart-like lesions on her hands that become worse after exposure to water. Her skin issues have significantly impacted her quality of life, causing her to feel self-conscious about her appearance and limiting her ability to participate in activities she enjoys. Sarah has also experienced nail abnormalities, such as V-shaped notches at the free edge of her nails, longitudinal red and white lines, ridging, and splitting. In addition to her skin issues, Sarah has been diagnosed with blepharitis, dry eye, and recurrent parotid gland obstruction. She has also experienced neuropsychiatric illness, including epilepsy and learning disabilities, which have further complicated her life. Despite trying various treatments, Sarah's symptoms continue to worsen, significantly impacting her overall health and well-being.",1,1,1,1,2,3,,
