Condition,Category,Vignette-Child (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3)
Congenital sucrase-isomaltase deficiency,Change in presentation related to age,"A 6-year-old boy named Jack was brought to the pediatrician by his parents due to persistent diarrhea and abdominal pain. He had been experiencing these symptoms for several months, and his parents had noticed that he had lost weight and appeared pale and fatigued. Upon further investigation, the pediatrician discovered that Jack had Congenital sucrase-isomaltase deficiency, a rare genetic disorder that affects the ability to digest certain sugars. This condition causes chronic diarrhea, abdominal pain, and malabsorption of nutrients, which can lead to malnutrition and stunted growth. Jack's parents were advised to modify his diet by avoiding foods that contain sucrose and isomaltose, and to supplement his diet with lactose-free milk and other nutrient-rich foods. With these changes, Jack's symptoms improved and he was able to gain weight and resume normal activities.",0,0,1,0,0,1,"Mrs. Smith is a 35-year-old female with a history of chronic diarrhea and abdominal pain since childhood. She reports that her symptoms worsen after consuming foods high in carbohydrates, such as bread, pasta, and sweets. Mrs. Smith has been diagnosed with Congenital sucrase-isomaltase deficiency, a rare genetic disorder that impairs the body's ability to digest sucrose and maltose. She has been advised to follow a strict low-carbohydrate diet and take supplements to manage her symptoms. Despite these measures, she still experiences occasional episodes of diarrhea and abdominal discomfort, which significantly affect her quality of life. Mrs. Smith is seeking further guidance on how to manage her condition and improve her symptoms.",1,1,1,1,2,3
Cystic fibrosis,Change: presentation/management,"Sarah is a 7-year-old girl who has been diagnosed with cystic fibrosis (CF) since birth. She presents with chronic cough, wheezing, and recurrent respiratory infections. Her parents report that she has difficulty gaining weight and has frequent episodes of abdominal pain and diarrhea. Sarah's sweat chloride test was positive, confirming the diagnosis of CF. She is currently receiving treatment with pancreatic enzyme replacement therapy and inhaled bronchodilators to help manage her symptoms. Her care team is closely monitoring her lung function and nutritional status to prevent complications and improve her quality of life.",1,1,1,1,2,3,"John is a 32-year-old male who has been diagnosed with cystic fibrosis since childhood. He presents to the clinic today with complaints of worsening shortness of breath, cough, and increased sputum production over the past few weeks. He reports a history of recurrent respiratory infections and has been hospitalized multiple times for exacerbations of his cystic fibrosis. On physical examination, he has decreased breath sounds and crackles on auscultation of his lungs. His oxygen saturation is 91% on room air. His pulmonary function tests show a significant decline in his forced expiratory volume in one second (FEV1) compared to his baseline. John is currently being treated with inhaled bronchodilators, chest physiotherapy, and antibiotics for his exacerbation.",1,1,1,1,2,3
Trisomy 18,Only childhood,"Samantha is a 2-year-old girl with Trisomy 18, also known as Edwards syndrome. She was born with a low birth weight and has had several medical issues since birth. Samantha has a small head circumference, a small jaw, and clenched fists. She also has a heart defect and difficulty feeding. Samantha has developmental delays and has not yet achieved many milestones, such as sitting up or crawling. She requires frequent medical attention and has a team of healthcare providers working with her family to manage her care. Despite her challenges, Samantha is a happy and sweet child who loves to be held and cuddled.",0,0,1,0,0,1,"Mrs. Johnson is a 35-year-old woman who was diagnosed with Trisomy 18 during her pregnancy. She was advised to terminate the pregnancy, but she decided to carry the baby to term. Her daughter was born with a low birth weight and small size. The baby had a small head circumference, a cleft lip, and a heart defect. The baby had difficulty breathing and was admitted to the neonatal intensive care unit. The baby also had feeding difficulties and required a feeding tube. Mrs. Johnson was informed that her daughter's life expectancy was limited due to the severity of her condition.",0,0,1,0,0,1
Recessive X-linked ichthyosis,No change,"Tommy is a 5-year-old boy who was brought to the pediatrician's office by his parents due to persistent dry, scaly skin. His parents have noticed that his skin has been getting progressively worse over the past few months, and they have tried various moisturizers and creams without much improvement. On physical examination, Tommy has thick, scaly plaques covering most of his body, especially on his arms and legs. He also has small, red bumps on his cheeks and forehead. His hair is dry and brittle, and his nails are thickened and discolored. Based on these clinical features, Tommy is diagnosed with Recessive X-linked ichthyosis, a rare genetic disorder that affects the skin and other organs.",1,0,1,0,1,2,"John is a 35-year-old male who presents to the dermatology clinic with complaints of dry, scaly skin that has been present since birth. He reports that his skin becomes particularly dry and itchy during the winter months. On examination, John has large, dark, polygonal scales that are present over his entire body, with sparing of the face and scalp. He also has areas of erythema and hyperpigmentation. The scales are most pronounced on his extremities and trunk. John reports that his skin feels tight and uncomfortable, and he has tried various moisturizers and topical treatments with little relief. Based on these clinical features, John is diagnosed with Recessive X-linked ichthyosis, a rare genetic disorder that affects the skin's ability to shed dead cells, leading to the formation of thick, scaly skin.",1,1,1,1,2,3
Hereditary hemorrhagic telangiectasia,Change in presentation related to age,"A 6-year-old boy presents to the clinic with a history of recurrent epistaxis and skin discolorations since infancy. His parents report that he has been experiencing frequent nosebleeds, often lasting for more than 10 minutes, and that they have noticed small red spots on his lips and tongue. The boy has also complained of abdominal pain and fatigue. On physical examination, the boy has multiple telangiectasias on his lips, tongue, and fingers, and a few on his face and ears. His mucous membranes are dry and his liver is enlarged. Based on these clinical features, the boy is diagnosed with Hereditary Hemorrhagic Telangiectasia (HHT), a rare genetic disorder characterized by abnormal blood vessel formation. The recurrent nosebleeds and telangiectasias on his lips and tongue are classic features of HHT, while the abdominal pain and fatigue could be signs of anemia due to chronic blood loss. The enlarged liver is also a common finding in HHT, as abnormal blood vessels can form within the liver, leading to congestion and enlargement.",0,1,1,0,1,2,"A 35-year-old woman presented to the clinic with a history of recurrent nosebleeds since childhood, as well as a family history of similar episodes. She reported having several episodes of heavy bleeding in the past year, requiring multiple visits to the emergency department for nasal packing and cauterization. On examination, she had multiple telangiectasias on her lips, tongue, and fingers, as well as a systolic murmur on cardiac auscultation. Imaging studies revealed multiple pulmonary arteriovenous malformations (AVMs), consistent with a diagnosis of Hereditary hemorrhagic telangiectasia (HHT). Genetic testing confirmed a mutation in the ENG gene. The patient was referred to a multidisciplinary team, including a hematologist, pulmonologist, and interventional radiologist for further management and treatment of her HHT-related complications.",1,1,1,1,2,3
Mucopolysaccharidosis type 4A,No change,"A 4-year-old boy was referred to a pediatric geneticist for evaluation of developmental delay and joint stiffness. His parents reported that he had missed several developmental milestones, including walking and talking, and had a history of recurrent ear infections. On examination, the child had short stature, coarse facial features, and limited range of motion in his joints. He also had hearing loss and a prominent forehead. X-ray studies revealed dysplasia of the hip and spine. Urine analysis showed elevated levels of dermatan sulfate and heparan sulfate, consistent with a diagnosis of Mucopolysaccharidosis type 4A (MPS 4A), also known as Morquio syndrome. Genetic testing confirmed a mutation in the GALNS gene. The child was referred to a multidisciplinary team, including a pediatric orthopedic surgeon and a physical therapist, for management of his MPS 4A-related complications.",1,0,1,0,1,2,"Mucopolysaccharidosis type 4A (MPS 4A), also known as Morquio syndrome, is a rare genetic disorder that affects both children and adults. A 30-year-old man presented to the clinic with complaints of joint pain, shortness of breath, and difficulty walking. He had a history of recurrent ear infections and had undergone multiple surgeries for hernias and spinal stenosis. On examination, he had short stature, a prominent forehead, and a barrel-shaped chest. He also had limited range of motion in his joints, particularly in his hips and knees. Pulmonary function tests revealed restrictive lung disease. X-ray studies showed dysplasia of the spine and hips. Urine analysis confirmed elevated levels of dermatan sulfate and heparan sulfate, consistent with a diagnosis of MPS 4A. Genetic testing confirmed a mutation in the GALNS gene. The patient was referred to a multidisciplinary team, including a pulmonologist, physical therapist, and orthopedic surgeon, for management of his MPS 4A-related complications.",1,1,1,1,2,3
Dentinogenesis imperfecta,No change,"A 5-year-old girl named Emily was brought to the dentist by her parents for routine dental check-up. Emily has a history of weak and brittle teeth, which often break or chip while eating. Her parents also mentioned that her teeth appeared discolored and had a translucent appearance. Upon examination, the dentist observed that Emily had multiple teeth with enamel defects and a greyish-blue discoloration. The teeth were also smaller than normal and had a bulbous appearance. X-rays revealed that the enamel and dentin of her teeth were irregularly formed and had a thin layer of dentin, consistent with the diagnosis of Dentinogenesis Imperfecta.",1,1,1,1,2,3,"A 35-year-old woman presents to the dentist with a chief complaint of tooth sensitivity and discoloration. On examination, the patient has thin and translucent enamel, and the dentin appears yellow-brown in color with a mottled appearance. The patient also reports a history of multiple dental fractures and previous restorations. Based on these findings, the patient is diagnosed with Dentinogenesis imperfecta, a rare genetic disorder that affects the development of teeth.",1,1,1,1,2,3
Cystinuria,No change,"A 6-year-old boy is brought to the pediatrician by his mother who reports that he has been experiencing recurrent episodes of kidney stones. The child has a history of abdominal pain, nausea, and vomiting. The pediatrician suspects cystinuria, a genetic disorder that causes the buildup of cystine, an amino acid, in the kidneys and urine. Upon further examination, the pediatrician finds that the child has a family history of cystinuria and notes that the child's urine has a high concentration of cystine. The pediatrician orders a urine analysis and blood tests to confirm the diagnosis. The child is prescribed medication to dissolve the cystine buildup and prevent the formation of kidney stones.",1,1,1,1,2,3,"A 34-year-old male presents to the emergency department with severe abdominal pain and urinary urgency. He reports a history of recurrent kidney stones, which he has been passing for the past few years. The patient has a family history of kidney stones and reports that his father and grandfather have also had recurrent kidney stones. On physical examination, the patient is in significant distress and appears to be in pain. His vital signs are stable, and his abdomen is tender to palpation in the right lower quadrant. A urinalysis reveals a high concentration of cystine crystals, and a CT scan confirms the presence of multiple kidney stones. Based on these findings, the patient is diagnosed with Cystinuria, a genetic disorder that results in the formation of kidney stones composed of cystine.",1,1,1,1,2,3
Stargardt disease,No change,"A 10-year-old boy was brought to the ophthalmologist by his parents after they noticed that he had difficulty seeing in dim light and had trouble reading small print. The ophthalmologist performed a thorough eye examination and found that the boy had macular degeneration, which is a progressive deterioration of the central part of the retina. The ophthalmologist explained to the family that the boy had Stargardt disease, an inherited form of macular degeneration that affects children and young adults. The ophthalmologist noted that the most important clinical features of Stargardt disease include central vision loss, difficulty seeing in dim light, and the presence of yellowish flecks in the retina. The flecks, known as fundus flavimaculatus, are a hallmark of the disease and can be seen on a dilated eye exam. The ophthalmologist also explained that Stargardt disease is caused by mutations in the ABCA4 gene, which is responsible for producing a protein that helps remove toxic waste products from the retina.",1,1,1,1,2,3,"Patient X is a 45-year-old man who presents to the clinic with complaints of blurry vision and difficulty reading. He reports that he has had these symptoms for several years, but they have progressively worsened over time. Upon further examination, it is discovered that he has Stargardt disease. Stargardt disease is a genetic disorder that affects the retina, the part of the eye that senses light. The most common symptom of Stargardt disease is central vision loss, which can make it difficult to read or recognize faces. In Patient X's case, this is the primary complaint. Upon further examination, it is discovered that Patient X has yellowish deposits called lipofuscin in the retina. These deposits are a hallmark of Stargardt disease and are caused by the accumulation of toxic waste products in the retina.",1,1,1,1,2,3
Triploidy,Only childhood,"A 2-year-old boy was brought to the hospital by his parents due to concerns of developmental delay and abnormal physical features. Upon physical examination, the child was found to have a small head circumference, a wide and flat nasal bridge, low-set ears, and a small jaw. Additionally, his hands and feet were small and he had a single crease across his palms.Further investigations revealed that the child had a rare genetic disorder called Triploidy. This condition occurs when a fetus inherits three sets of chromosomes instead of the usual two, resulting in a total of 69 chromosomes instead of 46.",0,1,1,0,1,2,"A 32-year-old female presents to the clinic with complaints of irregular periods and difficulty conceiving for the past two years. She reports a history of two miscarriages in the first trimester. On physical examination, she has characteristic facial features such as a small head circumference, low-set ears, and a small jaw. Her blood pressure is elevated, and she has mild edema in her lower extremities. Further investigation reveals that the patient has triploidy, a rare chromosomal abnormality in which there are three sets of chromosomes (69 in total) instead of the usual two sets (46 in total). The patient is referred to a genetic counselor for further evaluation and management. It is important to note that individuals with triploidy often have severe developmental abnormalities and may not survive beyond the first few months of life. Therefore, early diagnosis and management are crucial for improving the prognosis and quality of life for affected individuals.",0,0,1,0,0,1
Steinert myotonic dystrophy,Change: presentation/management,"A 6-year-old boy was brought to the hospital by his parents with complaints of muscle weakness, difficulty in walking, and delayed speech development. The child had a history of delayed motor milestones and had trouble running and jumping like other children his age. The parents also reported that the child had a history of frequent falls, especially while climbing stairs. Upon examination, the child was found to have muscle weakness and atrophy, particularly in the facial and neck muscles. The child's gait was also abnormal, with a waddling gait and a tendency to trip and fall. The child's speech was slurred and slow, and he had difficulty in pronouncing words. Further investigations, including electromyography (EMG), revealed the presence of myotonia, a condition where muscles are slow to relax after contraction. Genetic testing confirmed the diagnosis of Steinert myotonic dystrophy, an inherited neuromuscular disorder.",1,1,1,1,2,3,"A 45-year-old male presents to the clinic with muscle stiffness and weakness that has been progressively worsening over the past few years. He has a family history of muscle disorders. On examination, the patient has prominent facial and neck muscle weakness, and his grip strength is reduced. The patient also has difficulty releasing his hand after making a fist. Muscle percussion myotonia is noted in the upper and lower extremities. The patient also exhibits gait difficulties and falls frequently. Further evaluation reveals a diagnosis of Steinert myotonic dystrophy, a genetic disorder characterized by muscle stiffness, weakness, and myotonia. Other clinical features of this condition can include cataracts, heart conduction abnormalities, and intellectual impairment. The patient is referred to a specialist for further management and genetic counseling.",1,1,1,1,2,3
Stickler syndrome,Change in presentation related to age,"A 7-year-old boy named Jack was brought to the pediatrician by his parents for evaluation of his recurrent ear infections. The child had a history of frequent respiratory tract infections and difficulty breathing during sleep. Upon examination, the pediatrician noted that Jack had a small chin and a flat midface, which made his eyes appear to be positioned abnormally high. The boy also had a high-arched palate, a small jaw, and a cleft palate. Based on these findings, the pediatrician suspected that Jack might have Stickler syndrome, a genetic disorder that affects the connective tissue in the body. Stickler syndrome is known to cause abnormalities in the shape of the face and skull, as well as hearing loss, vision problems, and joint problems.",1,1,1,1,2,3,"A 36-year-old man presents to his primary care physician with complaints of recurrent joint pain and stiffness, particularly in his knees and hips. He also reports difficulty seeing at night and a family history of hearing loss. On physical examination, the patient has hypermobile joints with mild crepitus on movement. His visual acuity is reduced, and he has a high myopic refractive error. Audiometry reveals bilateral high-frequency hearing loss. Genetic testing confirms the diagnosis of Stickler syndrome.",1,1,1,1,2,3
Medium chain acyl-CoA dehydrogenase deficiency,Change in presentation related to age,"A 5-year-old boy presents to the clinic with complaints of recurrent vomiting and lethargy. He had a history of poor feeding and failure to thrive since infancy. On examination, the child appeared pale and dehydrated. Blood tests revealed hypoglycemia, metabolic acidosis, and elevated levels of liver enzymes. Further investigations showed high levels of medium chain fatty acids in the blood and urine, confirming a diagnosis of medium chain acyl-CoA dehydrogenase deficiency (MCADD)",1,1,1,1,2,3,"A 32-year-old male patient presents to the emergency room complaining of severe abdominal pain, nausea, and vomiting. He reports having had multiple episodes of similar symptoms in the past, but this time it was much worse. On physical examination, the patient appears to be in distress, with tenderness in the epigastric region. Laboratory tests reveal elevated levels of liver enzymes and hypoglycemia. Further evaluation reveals that the patient has Medium chain acyl-CoA dehydrogenase deficiency (MCADD), an inherited metabolic disorder that affects the breakdown of fatty acids for energy. MCADD is characterized by episodes of hypoglycemia, vomiting, lethargy, and seizures, especially during periods of fasting or stress. The patient's symptoms were likely triggered by a recent illness that caused him to skip meals and experience prolonged fasting.",1,1,1,1,2,3
Huntington disease,Change in presentation related to age,"A 10-year-old child was brought to the clinic by her parents due to behavioral and motor changes that had been noticed over the past few months. The child had become increasingly irritable, aggressive, and had difficulty concentrating in school. Her parents also noticed that she had started to have involuntary movements in her arms and legs. On examination, the child had choreiform movements, which were more prominent in her upper limbs. She also had gait abnormalities and difficulty with balance. A detailed family history revealed that her father had been diagnosed with Huntington's disease a few years ago. Based on the clinical presentation and family history, the child was diagnosed with juvenile-onset Huntington's disease. Further investigations including genetic testing confirmed the diagnosis. The family was referred to a specialist for management and genetic counseling. The child was started on medications to manage her symptoms, and her parents were advised on the importance of regular follow-up visits to monitor disease progression and provide support for the child's care.",1,1,1,1,2,3,"A 50-year-old man was recently diagnosed with Huntington disease, a genetic disorder that causes progressive degeneration of brain cells. He has a family history of the disease, with his father and grandfather also affected. The patient initially presented with mild motor symptoms, such as involuntary movements of the arms and legs, which gradually worsened over time. He also experienced cognitive decline, including difficulty with memory, concentration, and decision-making. On physical examination, the patient exhibited chorea, a type of involuntary movement characterized by jerky, dance-like movements of the limbs and face. He also had bradykinesia, or slow movement, and rigidity in his limbs. The patient's psychiatric symptoms included depression, anxiety, and irritability, which are common in Huntington disease. He also had difficulty sleeping and had a history of suicidal thoughts.",1,1,1,1,2,3
